distance_km,hour_of_day,day_of_week,vehicle_type,eta_minutes
9.676232911760382,18,0,car,35.33524757131459
23.792500507042945,7,3,bike,56.961585990742165
18.433851574379425,6,1,scooter,32.03500789005929
15.167132862827398,15,5,van,31.411471745746848
4.322456690839695,18,5,car,11.257126033116286
4.321865748236965,5,1,scooter,9.20168591433129
1.9230484981208869,19,4,car,8.131355060619416
21.721315571485913,20,2,car,71.97369861615852
15.227317787708616,10,2,bike,75.69784373449319
17.847778156003116,4,4,car,24.4913815548882
1.00432011024716,15,3,scooter,2.5337832703008747
24.26279137796886,6,0,scooter,47.12112908383056
20.89484469961033,4,6,van,26.641438057782914
5.7023082116177655,10,6,car,15.74463025315961
4.954711696573965,14,0,bike,10.569963031824471
4.993410491409128,2,5,bike,10.571034283711109
7.953934952508674,4,3,scooter,7.289869329711197
13.356532574989828,22,4,car,27.30905765559742
11.082652956731836,20,6,scooter,43.12514436303682
7.6351139348520265,4,1,van,10.66234123229489
15.490395920698298,8,2,car,57.31465030298013
3.917599585975025,14,1,scooter,4.818453510693745
7.657543889112845,2,2,bike,17.518380743498223
9.475865160695447,5,1,scooter,12.119276930478435
11.67371461331738,16,4,scooter,26.447739899296693
19.736811054128832,20,4,scooter,74.63506452618304
5.392007662879814,7,3,scooter,14.03257216130648
13.098743741133484,20,1,scooter,56.260716680862785
15.01415693712004,10,1,bike,67.65923422687236
1.6380351116399443,5,3,bike,8.295843150417586
15.38484887158524,7,3,scooter,33.82518724834485
4.677841030338643,9,4,bike,16.45966071093493
2.093764028139348,23,4,bike,2.3955297065484182
23.747695662706665,2,5,bike,41.236196447474356
24.157984810326703,22,1,scooter,50.48530445619904
20.3057350288533,13,4,bike,49.06912677887975
7.9630373447475815,22,6,car,14.654260177892981
2.892966793156405,13,4,scooter,3.1638460397629684
17.263709149547843,9,1,scooter,69.19692541883347
11.283736096620231,11,3,car,16.806803999598053
3.4899367536970813,5,1,bike,6.847387941038198
12.631834297726119,11,6,scooter,24.971500348383017
1.3425187673228507,22,0,van,5.221507368872363
22.778349850930162,13,1,car,39.71726895710541
6.840109549200415,1,0,van,14.24398710211779
16.731795966672557,8,1,car,60.63069164129033
8.136921364190568,9,6,bike,39.35477083013966
13.241666518856364,16,0,bike,35.28240425889804
13.894401843910352,16,0,scooter,29.758072742054036
5.028934160375412,2,6,bike,10.875479405002293
24.254823380231684,18,1,bike,117.15383046794125
19.490754172347305,0,5,car,21.509798148049853
23.517724068322632,11,4,bike,59.045364245284894
22.423270085477395,6,2,bike,56.08722121232091
15.148549480871585,3,4,car,20.85197502356353
23.085918758066363,9,0,car,78.56793887374863
2.6680663002720277,12,1,bike,5.653197552511641
5.301580129269057,1,1,car,5.764963092739799
1.6080685783081825,9,1,car,9.280501459525404
8.470593103699976,20,1,scooter,37.41765329026288
10.022593597392309,21,5,bike,24.323222763394842
7.14805127846045,3,2,bike,10.040826583500055
20.804068974222268,17,3,scooter,82.13840337819401
9.240456503992938,4,0,bike,16.287130490670624
7.382895487340829,18,2,van,29.822547249551388
13.796054037377088,1,4,car,23.780384026410665
3.9526435118816847,11,3,car,7.977353672730919
20.153826028473972,16,3,van,44.17259763672678
2.3264907701543853,9,1,car,6.578778777151744
24.678729946712675,1,2,bike,48.14700817076013
19.419996847768108,5,4,bike,42.42691215178995
5.368534197587224,7,1,car,9.44605454876727
0.6352918695282588,18,1,bike,2.348856569101044
20.47880499714344,10,6,scooter,70.95887064865522
17.81800492426662,11,6,scooter,30.02167886001434
18.36067561700419,8,6,van,68.41627988247188
19.39612349380567,1,5,scooter,24.1135692611136
2.314093967485214,7,0,car,2.0
9.282410349334679,10,3,bike,44.49185250407544
3.338791958365678,20,4,scooter,13.598463645198443
21.64603393395204,3,3,bike,39.14256511202822
15.770804107275168,9,2,car,58.44226322638956
8.607001608889906,20,0,bike,42.560079673613686
2.057179582007579,19,1,car,9.280561581769266
8.119066882033724,15,0,bike,21.79282755423215
8.466991389655302,7,1,bike,20.634717173415353
18.37535136928257,3,6,scooter,25.238364253578993
16.120158048202722,9,0,scooter,61.90012911728601
22.23671219312,11,1,bike,55.33605780262586
12.069265666467757,13,3,bike,27.966293515376837
3.430059025488392,15,6,car,3.1938773211252767
17.974497286963377,21,6,scooter,35.16589324386013
19.139233691113986,17,6,bike,75.88877398416102
14.251291340452658,20,3,car,54.01879763712474
19.388695908886746,21,3,bike,51.45266215039728
12.597992110927573,20,3,scooter,49.72524523217325
13.306954319858855,11,6,bike,33.126632337933906
10.974754949784465,17,0,scooter,41.23399189778059
1.122768605230332,6,1,bike,5.676911486083685
3.143339961335959,19,3,van,13.521855884583923
1.270015049324989,23,0,bike,2.0
16.09205507596262,22,1,bike,36.727899314056145
8.201721536370004,6,6,bike,16.593128179739036
12.959981933535218,8,0,car,46.771242707218306
22.73537861118928,0,6,scooter,28.983974990576247
6.607659614147436,5,5,car,6.75743155340475
10.554381614372929,5,3,van,19.02028379798985
19.011002894304692,21,2,van,42.20215135005014
6.10555505454475,11,0,car,10.191489050799674
2.3860077908054285,21,3,bike,4.8178824164523935
7.5989105963873165,11,4,car,15.844623270405174
4.4499215377231085,9,1,bike,20.43422343007907
23.27759248239304,22,5,car,31.131358673543808
20.298949299328214,5,3,scooter,30.045951420001227
16.018392034505375,16,4,car,29.10055064309975
21.850784459599083,18,0,scooter,86.95526600316666
20.189965884028304,17,0,scooter,79.25157176902061
5.070966442707878,5,4,van,4.594326591310604
22.367695463004456,23,5,bike,35.47619611100801
13.713884926933442,18,4,bike,66.5103861988398
20.282283801519533,9,1,scooter,78.10698196896192
22.454236848125586,23,0,van,36.44461692014281
8.291085136810665,7,4,bike,16.61691740290694
3.1962721509280807,20,2,bike,14.95577142079451
6.084411482277571,23,2,bike,16.409245746122483
10.96414082134328,5,4,bike,20.756630570615602
20.54136176510108,20,1,van,83.28968746898077
21.587899289780413,6,0,car,38.0012181883433
0.6703271980141723,23,2,scooter,4.966715161911874
13.013308913150361,0,4,scooter,15.868305717281052
10.726569577145085,17,6,car,28.84335511220699
5.941641356532891,23,4,bike,11.744229475641845
3.4367014996752285,19,3,bike,16.234820840484094
8.771571699388884,11,4,scooter,21.176651509877892
23.60128774585672,15,1,bike,56.10117943173059
8.418471834508503,9,2,scooter,36.150229835001724
13.210370232712469,9,3,bike,67.99408690515881
17.723964492931856,13,2,bike,39.93474673071041
9.408925258292703,19,2,bike,47.405858065638526
24.308661026663536,9,1,car,82.14139636513316
24.079958726081724,9,4,bike,108.93809463391578
6.668666247721422,10,1,van,30.009125717972033
12.682588394363444,22,4,bike,32.236535252680525
7.871518590510857,1,3,car,5.732296419672661
7.478592112247957,19,1,car,24.279099595579908
1.4037302101860534,7,1,van,2.0
15.434326182507473,22,6,car,25.4376544420299
12.815636069107107,6,5,bike,22.098100973868007
1.761229405624739,7,0,bike,4.547226986325384
7.32683837379698,0,1,scooter,4.252978887378953
22.752514206183015,20,5,bike,96.10554516543787
6.369266321340825,1,0,bike,12.134032408922977
4.049924366234966,17,6,car,10.54142684554099
12.491592626800294,14,4,scooter,29.268076930073526
24.64843612570972,0,4,scooter,30.05122124590791
6.43035415203176,4,4,van,10.545020086211183
16.967320911444023,1,5,scooter,26.291552748014468
19.15968057555358,19,5,scooter,67.02879295669902
6.322119827813792,2,0,car,12.435059754390457
18.34130054099056,18,4,bike,86.68652221199875
9.510686751621703,17,2,bike,45.14981488663438
15.991492849542697,21,1,van,37.967255472751454
16.02147791364192,17,5,van,62.39103232831517
13.626479759831582,13,5,car,27.51052478384653
2.7120993663330033,23,5,scooter,3.936676938796704
20.96491114193633,7,0,car,36.54058694970848
8.359111591807528,11,4,bike,18.677667595266982
5.069703504796428,20,2,bike,23.72241546165332
1.498990968091716,9,1,scooter,9.230160562544683
14.976877108111925,22,1,scooter,29.952958101491934
17.10032686513592,19,4,bike,79.65969447181045
0.9064018087324757,16,2,bike,2.0
13.046279928332384,10,0,bike,62.35115790024896
6.04914649234948,1,5,scooter,5.86496986281063
16.30673336503152,3,5,car,17.324717924604712
4.77197751062229,0,6,scooter,3.384533517077134
17.427974583510416,14,4,bike,40.559324595653365
9.975015984363166,12,1,scooter,23.448659421650877
23.449884724049994,7,5,scooter,40.927576401436
3.869263131576835,3,6,scooter,12.56022992885205
8.856125600731334,9,1,bike,40.21780670453792
3.2801012703944323,18,1,scooter,14.57688856759422
23.15499364782479,17,4,van,99.9023045328504
21.994814157834035,4,3,bike,42.557129289626445
6.819569879021312,18,6,bike,26.64608409298636
16.669609127837386,22,3,scooter,32.233822742872185
20.52194390492979,21,3,scooter,42.26565515450204
14.102419884186826,15,6,bike,27.917129380394112
13.476439169722159,0,2,bike,19.559171806611467
6.425381127061066,11,4,bike,19.352269370076876
2.7810178112445305,23,6,van,6.650455013196128
22.481786069856504,1,1,car,28.394899398000362
22.560242400501597,20,6,scooter,79.12535992878175
16.010985703195065,7,5,car,26.887799509278434
8.806229880693166,17,6,bike,40.78910146129279
9.055634578010192,15,2,car,15.836722917920778
18.285914132320865,4,3,scooter,26.37609740475374
22.47920136883814,21,0,bike,58.34288865187662
22.233617394495376,12,2,car,38.3989304386187
19.606950873511785,18,2,car,66.78223754680334
16.22977533078005,2,4,car,22.191541226180366
2.5614291423786963,7,5,bike,8.809771412865496
4.459903495318038,11,2,van,9.44053991807095
22.514577618913442,1,6,van,35.22925095739761
15.357511961659954,10,5,bike,63.475293028643975
0.7253277646074263,11,4,bike,3.567952673790281
2.9860528002177866,17,6,bike,9.619259572210415
16.755793343147367,12,0,van,39.114099686971166
0.6240088042323578,4,1,scooter,2.0
4.439797259728717,21,1,bike,12.033374716411005
13.94397783948136,11,3,bike,29.005842135975463
17.451432343470984,1,3,bike,32.29247193574211
16.47305085781371,4,0,scooter,25.90752474145168
5.994598081783715,6,1,scooter,9.945218700740343
17.948390923014628,23,3,van,29.2559358459104
6.312602643671601,11,5,scooter,11.76474188985178
8.472292604902059,15,2,car,16.21373613746688
18.789039425391593,22,4,bike,45.39412394663508
16.41600602665676,7,6,bike,38.256822322475095
21.30597355710736,8,3,scooter,88.69868111516955
16.611515861358413,14,0,bike,39.775774673069726
14.423560781719054,4,6,bike,19.163887625859374
2.7950318117882658,12,1,van,4.528125237826866
9.509037174956122,4,0,scooter,7.941910273297896
6.9974580082022735,10,4,bike,33.03840885553289
6.477746262787548,9,4,bike,35.29844238829234
24.338758591434917,19,0,bike,119.19906736820725
10.13089425433563,12,3,van,21.95959076613641
22.355140601839274,8,3,bike,105.12228197180673
15.96289633693294,20,1,bike,76.98881528754369
19.972876936770387,13,5,scooter,41.12912057920104
12.814608781077206,17,1,bike,65.97321796073432
14.634145173345798,14,2,bike,34.671062634226516
12.566683498562165,9,5,bike,48.00640312869363
5.28345320105209,23,6,bike,15.10608666753968
18.20007682390688,6,2,bike,41.49366450111418
7.378922879800967,7,1,bike,19.29964092432047
1.095741177570619,2,5,car,2.0
16.31407124972561,14,5,bike,33.077503200149245
4.839211645472699,15,2,car,3.607441202280741
23.5412353166464,3,0,car,27.55773092275559
23.87125013656339,20,3,scooter,92.71085404773211
